Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR10783153_2	(1.0, 89.04111883826607)	(2.0, 6.8568807456669285)	(3.0, 0.6252429594484301)	(4.0, 0.1682299226325739)	(5.0, 0.07226131664962515)	(6.0, 0.041982507112093934)	(7.0, 0.021298779732167036)	(8.0, 0.023441172782680618)	(9.0, 0.01166359752141378)	('>10', 0.17532881606170803)	('>50', 0.0880155705734927)	('>100', 0.12207064147658796)	('>500', 0.0)	('>1k', 0.2566121539881122)	('>5k', 0.0)	('>10k+', 2.495852978088116)
ERR10783156_1	(1.0, 74.50739927651918)	(2.0, 4.336848886066988)	(3.0, 0.33215573370746926)	(4.0, 0.10297910733953687)	(5.0, 0.0871347145876058)	(6.0, 0.04898166030659508)	(7.0, 0.04158642958851718)	(8.0, 0.035515524945520634)	(9.0, 0.044386582758727096)	('>10', 0.6782622751406976)	('>50', 0.24288567022169982)	('>100', 1.0854956495150416)	('>500', 0.0)	('>1k', 0.41809504686841054)	('>5k', 0.0)	('>10k+', 18.038273442434036)
ERR10783156_2	(1.0, 96.66195512343845)	(2.0, 3.1101319105561567)	(3.0, 0.18462949533874123)	(4.0, 0.028217494953412938)	(5.0, 0.008361563606062692)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0025169859109774586)	('>10', 0.004187426196204251)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10783159_1	(1.0, 95.3298927705001)	(2.0, 4.25348427896626)	(3.0, 0.32084562681308626)	(4.0, 0.05625752296584467)	(5.0, 0.01913352153334874)	(6.0, 0.002187268878437017)	(7.0, 0.002474034157169165)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.015724976185759486)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10783159_2	(1.0, 91.48341873683098)	(2.0, 4.613015877926431)	(3.0, 0.3790313039241175)	(4.0, 0.09604250576783425)	(5.0, 0.03969531794342629)	(6.0, 0.03035223801059913)	(7.0, 0.022127140400556144)	(8.0, 0.016557061252752057)	(9.0, 0.015343437516902083)	('>10', 0.1444484182042233)	('>50', 0.02069483613159125)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 3.1392731260905764)	('>10k+', 0.0)
ERR10783163_1	(1.0, 86.9399439571567)	(2.0, 4.165831778603937)	(3.0, 0.35134915052617666)	(4.0, 0.07940805548244326)	(5.0, 0.047872279336612304)	(6.0, 0.022438494228435333)	(7.0, 0.02099584622339547)	(8.0, 0.009353539867790943)	(9.0, 0.010339335253187042)	('>10', 0.3590936270835241)	('>50', 0.08091968915861075)	('>100', 0.10384233147999196)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 7.808611915599182)
ERR10783163_2	(1.0, 95.4339926125083)	(2.0, 4.131149300439173)	(3.0, 0.3344836062476751)	(4.0, 0.0500023028906024)	(5.0, 0.017157604356849824)	(6.0, 0.005783500803242324)	(7.0, 0.006450740199231683)	(8.0, 0.007145315322230961)	(9.0, 0.0)	('>10', 0.013835017232704663)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10783166_1	(1.0, 90.73952948278264)	(2.0, 7.625968042128905)	(3.0, 0.5947500270898552)	(4.0, 0.05715584826227636)	(5.0, 0.016046031314353358)	(6.0, 0.006378704956113268)	(7.0, 0.0069468546091532675)	(8.0, 0.007537909719371484)	(9.0, 0.008150312738346299)	('>10', 0.0420078275196512)	('>50', 0.03387852829348847)	('>100', 0.027220320420779747)	('>500', 0.10986042989969382)	('>1k', 0.7245696802653602)	('>5k', 0.0)	('>10k+', 0.0)
ERR10783166_2	(1.0, 92.17842264141902)	(2.0, 7.212616855450384)	(3.0, 0.5129556372115773)	(4.0, 0.042814084206759626)	(5.0, 0.0058679144590102865)	(6.0, 0.0032047470858753905)	(7.0, 0.0034876104455055035)	(8.0, 0.003781840164836881)	(9.0, 0.008173360721313768)	('>10', 0.008916263728144594)	('>50', 0.0)	('>100', 0.019759045107567392)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10783178_1	(1.0, 99.8685812849712)	(2.0, 0.11786268093859757)	(3.0, 0.006523881855455892)	(4.0, 0.003398323638650756)	(5.0, 0.0011794091714953231)	(6.0, 0.0024544194245919903)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
